timestamp_utc,model,status,prompt_chars,prompt_tokens,completion_tokens,total_tokens,latency_ms,response_chars,estimated_cost_usd,error
2026-07-12T16:56:13Z,gpt-4.1-mini-2025-04-14,ok_infer,1371,392,133,525,3733.43,529,0.0003696,
2026-07-12T16:56:14Z,gpt-4.1-mini-2025-04-14,ok,2491,800,98,898,1730.2,330,0.0004768,
2026-07-12T16:56:16Z,gpt-4.1-mini-2025-04-14,ok_infer,1936,516,70,586,1435.26,309,0.0003184,
2026-07-12T16:56:19Z,gpt-4.1-mini-2025-04-14,ok_infer,1936,516,74,590,3320.76,286,0.0003248,
2026-07-12T16:56:21Z,gpt-4.1-mini-2025-04-14,ok_infer,1318,389,110,499,1587.65,385,0.0003316,
2026-07-12T16:56:22Z,gpt-4.1-mini-2025-04-14,ok_infer,1300,292,82,374,1688.11,334,0.000248,
2026-07-12T16:56:24Z,gpt-4.1-mini-2025-04-14,ok,1487,608,124,732,2090.04,384,0.0004416,
2026-07-12T16:56:27Z,gpt-4.1-mini-2025-04-14,ok,1601,582,114,696,2481.85,483,0.0004152,
2026-07-12T16:56:29Z,gpt-4.1-mini-2025-04-14,ok_infer,1318,368,111,479,1657.25,457,0.0003248,
2026-07-12T16:56:31Z,gpt-4.1-mini-2025-04-14,ok,1464,457,117,574,2486.76,514,0.00037,
2026-07-12T16:56:33Z,gpt-4.1-mini-2025-04-14,ok,1518,543,122,665,1942.36,414,0.0004124,
2026-07-12T16:56:34Z,gpt-4.1-mini-2025-04-14,ok,1235,438,69,507,1129.06,346,0.0002856,
2026-07-12T16:56:35Z,gpt-4.1-mini-2025-04-14,ok_infer,1291,298,54,352,1258.22,266,0.0002056,
2026-07-12T16:56:37Z,gpt-4.1-mini-2025-04-14,ok,1209,440,61,501,1316.63,293,0.0002736,
2026-07-12T16:56:38Z,gpt-4.1-mini-2025-04-14,ok,10170,2219,104,2323,1729.06,458,0.001054,
2026-07-12T16:56:40Z,gpt-4.1-mini-2025-04-14,ok_infer,1300,303,67,370,1281.77,258,0.0002284,
2026-07-12T16:56:41Z,gpt-4.1-mini-2025-04-14,ok,1556,413,96,509,1626.92,317,0.0003188,
2026-07-12T16:56:43Z,gpt-4.1-mini-2025-04-14,ok_infer,1026,290,134,424,1896.27,457,0.0003304,
2026-07-12T16:56:43Z,gpt-4.1-mini-2025-04-14,cache_hit,1026,0,0,0,0,396,0.0,
