timestamp_utc,model,status,snippet_source,prompt_chars,prompt_tokens,completion_tokens,total_tokens,latency_ms,response_chars,items_returned,finish_reason,estimated_cost_usd,error
2026-07-12T11:23:12Z,gpt-4.1-mini-2025-04-14,ok,document_start,63,170,3,173,3071.11,5,1,stop,7.28e-05,
2026-07-12T11:23:13Z,gpt-4.1-mini-2025-04-14,ok,document_start,142,194,10,204,978.21,16,3,stop,9.36e-05,
2026-07-12T11:23:14Z,gpt-4.1-mini-2025-04-14,ok,document_start,55,166,1,167,514.59,2,0,stop,6.8e-05,
2026-07-12T11:23:54Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,1,1328,1694.46,2,0,stop,0.0005324,
2026-07-12T11:23:56Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1616.7,117,21,stop,0.001004,
2026-07-12T11:24:05Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,2103.14,93,17,stop,0.0006368,
2026-07-12T11:24:06Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,574.14,2,0,stop,0.0008096,
2026-07-12T11:24:07Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,552.72,2,0,stop,0.000906,
2026-07-12T11:24:08Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,1671.15,117,21,stop,0.0006624,
2026-07-12T11:24:32Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,1,1328,1722.07,2,0,stop,0.0005324,
2026-07-12T11:24:33Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1377.06,117,21,stop,0.001004,
2026-07-12T11:24:35Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,1279.3,93,17,stop,0.0006368,
2026-07-12T11:24:36Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,500.39,2,0,stop,0.0008096,
2026-07-12T11:24:37Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,520.15,2,0,stop,0.000906,
2026-07-12T11:24:39Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,1303.1,117,21,stop,0.0006624,
2026-07-12T11:26:12Z,gpt-4.1-mini,error,,0,0,0,0,2207.38,0,0,,0.0,Connection error.
2026-07-12T11:26:13Z,gpt-4.1-mini,error,,0,0,0,0,1224.25,0,0,,0.0,Connection error.
2026-07-12T11:26:14Z,gpt-4.1-mini,error,,0,0,0,0,1394.13,0,0,,0.0,Connection error.
2026-07-12T11:26:46Z,gpt-4.1-mini,error,,0,0,0,0,2190.59,0,0,,0.0,Connection error.
2026-07-12T11:26:47Z,gpt-4.1-mini,error,,0,0,0,0,1197.66,0,0,,0.0,Connection error.
2026-07-12T11:26:48Z,gpt-4.1-mini,error,,0,0,0,0,1327.48,0,0,,0.0,Connection error.
2026-07-12T11:27:15Z,gpt-4.1-mini,error,,0,0,0,0,2236.28,0,0,,0.0,Connection error.
2026-07-12T11:27:17Z,gpt-4.1-mini,error,,0,0,0,0,1314.95,0,0,,0.0,Connection error.
2026-07-12T11:27:18Z,gpt-4.1-mini,error,,0,0,0,0,1363.17,0,0,,0.0,Connection error.
2026-07-12T11:35:03Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,1,1328,1421.09,2,0,stop,0.0005324,
2026-07-12T11:35:05Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1786.22,117,21,stop,0.001004,
2026-07-12T11:35:07Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,1143.72,93,17,stop,0.0006368,
2026-07-12T11:35:08Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,464.66,2,0,stop,0.0008096,
2026-07-12T11:35:09Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,662.41,2,0,stop,0.000906,
2026-07-12T11:35:11Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,1986.66,117,21,stop,0.0006624,
2026-07-12T11:48:20Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,2095.9,117,21,stop,0.0006624,
2026-07-12T11:48:22Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1674.68,117,21,stop,0.001004,
2026-07-12T11:48:23Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,584.19,2,0,stop,0.000906,
2026-07-12T11:48:24Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,762.52,2,0,stop,0.0008096,
2026-07-12T11:48:25Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,1282.94,93,17,stop,0.0006368,
2026-07-12T11:48:27Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,61,1388,1253.23,105,19,stop,0.0006284,
2026-07-12T12:26:02Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,3235.29,117,21,stop,0.0006624,
2026-07-12T12:26:04Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1689.43,117,21,stop,0.001004,
2026-07-12T12:26:05Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,570.16,2,0,stop,0.000906,
2026-07-12T12:26:06Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,886.55,2,0,stop,0.0008096,
2026-07-12T12:26:08Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,1378.74,93,17,stop,0.0006368,
2026-07-12T12:26:08Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,1,1328,693.07,2,0,stop,0.0005324,
2026-07-12T12:32:17Z,gpt-4.1-mini,error,,0,0,0,0,2416.82,0,0,,0.0,Connection error.
2026-07-12T12:32:18Z,gpt-4.1-mini,error,,0,0,0,0,1225.17,0,0,,0.0,Connection error.
2026-07-12T12:32:20Z,gpt-4.1-mini,error,,0,0,0,0,1459.09,0,0,,0.0,Connection error.
2026-07-12T12:32:21Z,gpt-4.1-mini,error,,0,0,0,0,1221.66,0,0,,0.0,Connection error.
2026-07-12T12:32:28Z,gpt-4.1-mini,error,,0,0,0,0,2323.93,0,0,,0.0,Connection error.
2026-07-12T12:32:30Z,gpt-4.1-mini,error,,0,0,0,0,1309.31,0,0,,0.0,Connection error.
2026-07-12T12:32:31Z,gpt-4.1-mini,error,,0,0,0,0,1421.16,0,0,,0.0,Connection error.
2026-07-12T12:32:33Z,gpt-4.1-mini,error,,0,0,0,0,1494.46,0,0,,0.0,Connection error.
2026-07-12T21:06:08Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,1,1328,2682.7,2,0,stop,0.0005324,
2026-07-12T21:06:09Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2238,68,2306,1400.75,117,21,stop,0.001004,
2026-07-12T21:06:11Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1368,56,1424,1135.4,93,17,stop,0.0006368,
2026-07-12T21:06:12Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,953.76,2,0,stop,0.0008096,
2026-07-12T21:06:14Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2261,1,2262,1025.99,2,0,stop,0.000906,
2026-07-12T21:06:15Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1384,68,1452,1204.19,117,21,stop,0.0006624,
2026-07-12T21:07:48Z,gpt-4.1-mini-2025-04-14,ok,toc_header,5000,1327,61,1388,2399.67,105,19,stop,0.0006284,
2026-07-12T21:07:48Z,gpt-4.1-mini-2025-04-14,cache_hit,document_start,8000,0,0,0,0,0,21,,0.0,
2026-07-12T21:07:49Z,gpt-4.1-mini-2025-04-14,cache_hit,toc_header,5000,0,0,0,0,0,17,,0.0,
2026-07-12T21:07:50Z,gpt-4.1-mini-2025-04-14,ok,document_start,8000,2020,1,2021,615.71,2,0,stop,0.0008096,
